Player Moves
TURN 1: Time taken: 9.775161743164062e-06                    Action: Move to (16, 1)
TURN 2: Time taken: 1.1205673217773438e-05                   Action: Move to (16, 2)
TURN 3: Time taken: 1.0967254638671875e-05                   Action: Move to (16, 3)
TURN 4: Time taken: 1.5974044799804688e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 5: Time taken: 9.059906005859375e-06                    Action: Move to (17, 3)
TURN 6: Time taken: 1.5974044799804688e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 7: Time taken: 1.0013580322265625e-05                   Action: Move to (18, 3)
TURN 8: Time taken: 1.1682510375976562e-05                   Action: Move to (18, 4)
TURN 9: Time taken: 1.0013580322265625e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 10: Time taken: 5.245208740234375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 11: Time taken: 1.811981201171875e-05                    Action: Move to (19, 4)
TURN 12: Time taken: 4.291534423828125e-06                    Action: Move to (19, 5)
TURN 13: Time taken: 5.0067901611328125e-06                   Action: Move to (19, 6)
TURN 14: Time taken: 4.291534423828125e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 15: Time taken: 5.7220458984375e-06                      Action: Move to (18, 6)
TURN 16: Time taken: 5.0067901611328125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 17: Time taken: 1.4066696166992188e-05                   Action: Move to (18, 7)
TURN 18: Time taken: 4.76837158203125e-06                     Action: Move to (19, 7)
TURN 19: Time taken: 9.059906005859375e-06                    Action: Move to (19, 8)
TURN 20: Time taken: 5.0067901611328125e-06                   Action: Move to (20, 8)
TURN 21: Time taken: 5.7220458984375e-06                      Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 22: Time taken: 5.245208740234375e-06                    Action: Move to (20, 9) Collided with obstacle 83
TURN 23: Time taken: 6.198883056640625e-06                    Action: Move to (19, 8) Cannot move as wait time = 10
TURN 24: Time taken: 5.0067901611328125e-06                   Action: Move to (19, 8) Cannot move as wait time = 9
TURN 25: Time taken: 1.4781951904296875e-05                   Action: Move to (0, 0) Cannot move as wait time = 8
TURN 26: Time taken: 4.76837158203125e-06                     Action: Move to (20, 9) Cannot move as wait time = 7
TURN 27: Time taken: 1.3113021850585938e-05                   Action: Move to (20, 9) Cannot move as wait time = 6
TURN 28: Time taken: 4.76837158203125e-06                     Action: Move to (20, 9) Cannot move as wait time = 5
TURN 29: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as wait time = 4
TURN 30: Time taken: 4.0531158447265625e-06                   Action: Move to (21, 8) Cannot move as wait time = 3
TURN 31: Time taken: 3.814697265625e-06                       Action: Move to (20, 9) Cannot move as wait time = 2
TURN 32: Time taken: 1.9073486328125e-06                      Action: Move to (20, 9) Cannot move as wait time = 1
TURN 33: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 34: Time taken: 4.0531158447265625e-06                   Action: Move to (21, 8)
TURN 35: Time taken: 1.9073486328125e-06                      Action: Move to (22, 8)
TURN 36: Time taken: 3.814697265625e-06                       Action: Move to (22, 9)
TURN 37: Time taken: 4.291534423828125e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 38: Time taken: 9.5367431640625e-07                      Action: Move to (22, 10)
TURN 39: Time taken: 3.0994415283203125e-06                   Action: Move to (23, 10)
TURN 40: Time taken: 5.0067901611328125e-06                   Action: Move to (23, 11)
TURN 41: Time taken: 9.5367431640625e-07                      Action: Move to (23, 12)
TURN 42: Time taken: 5.0067901611328125e-06                   Action: Move to (22, 12)
