Results
ID  Team      Items       Satisfaction   
3   3         31/50       11579.3        
1   1         31/50       11003.15       
5   5         30/50       12267.29       
4   4         28/50       12339.51       
7   7         26/50       13131.9        
8   8         24/50       9609.41        
6   6         15/50       11821.88       
2   2         0/50        15735.51       
Game Over!ID  Team      Items       Satisfaction   
3   3         31/50       11648.78       
1   1         31/50       11003.15       
5   5         30/50       12269.29       
4   4         28/50       12347.51       
7   7         26/50       13614.45       
8   8         24/50       9609.41        
6   6         15/50       11845.88       
2   2         0/50        18565.17       
Game Over!ID  Team      Items       Satisfaction   
3   3         31/50       11718.27       
1   1         31/50       11003.15       
5   5         30/50       12271.29       
4   4         28/50       12355.51       
7   7         26/50       14096.99       
8   8         24/50       9609.41        
6   6         15/50       11869.88       
2   2         0/50        21394.83       
Game Over!ID  Team      Items       Satisfaction   
3   3         31/50       11787.76       
1   1         31/50       11003.15       
5   5         30/50       12273.29       
4   4         28/50       12363.51       
7   7         26/50       14579.53       
8   8         24/50       9609.41        
6   6         15/50       11893.88       
2   2         0/50        24224.48       
Game Over!ID  Team      Items       Satisfaction   
3   3         31/50       11857.24       
1   1         31/50       11003.15       
5   5         30/50       12275.29       
4   4         28/50       12371.51       
7   7         26/50       15062.07       
8   8         24/50       9609.41        
6   6         15/50       11917.88       
2   2         0/50        27054.14       
Game Over!ID  Team      Items       Satisfaction   
3   3         31/50       11926.73       
1   1         31/50       11003.15       
5   5         30/50       12277.29       
4   4         28/50       12379.51       
7   7         26/50       15544.62       
8   8         24/50       9609.41        
6   6         15/50       11941.88       
2   2         0/50        29883.79       
Game Over!ID  Team      Items       Satisfaction   
3   3         31/50       11996.22       
1   1         31/50       11003.15       
5   5         30/50       12279.29       
4   4         28/50       12387.51       
7   7         26/50       16027.16       
8   8         24/50       9609.41        
6   6         15/50       11965.88       
2   2         0/50        32713.45       
Game Over!ID  Team      Items       Satisfaction   
3   3         31/50       12065.7        
1   1         31/50       11003.15       
5   5         30/50       12281.29       
4   4         28/50       12395.51       
7   7         26/50       16509.7        
8   8         24/50       9609.41        
6   6         15/50       11989.88       
2   2         0/50        35543.1        
Game Over!
